Trade #,Type,Signal,Date/Time,Price THB,Contracts,Profit THB,Profit %,Cum. Profit THB,Cum. Profit %,Run-up THB,Run-up %,Drawdown THB,Drawdown %
766,Exit Long,Open,,,,,,,,,,,
766,Entry Long,MomLE,2023-08-16 15:45,933.8,,,,,,,,,
765,Exit Short,MomLE,2023-08-16 15:45,933.8,1,-706.20,-0.38,-122363.00,-0.08,356.90,0.19,663.10,0.36
765,Entry Short,MomSE,2023-08-16 15:00,930.7,1,-706.20,-0.38,-122363.00,-0.08,356.90,0.19,663.10,0.36
764,Exit Long,MomSE,2023-08-16 15:00,930.7,1,-426.20,-0.23,-121656.80,-0.05,0,0,383.10,0.21
764,Entry Long,MomLE,2023-08-16 14:45,932.4,1,-426.20,-0.23,-121656.80,-0.05,0,0,383.10,0.21
763,Exit Short,MomLE,2023-08-16 14:45,932.4,1,2353.80,1.25,-121230.60,0.27,3576.90,1.89,403.10,0.21
763,Entry Short,MomSE,2023-08-15 10:00,944.6,1,2353.80,1.25,-121230.60,0.27,3576.90,1.89,403.10,0.21
762,Exit Long,MomSE,2023-08-15 10:00,944.6,1,-526.20,-0.28,-123584.40,-0.06,296.90,0.16,483.10,0.26
762,Entry Long,MomLE,2023-08-11 16:00,946.8,1,-526.20,-0.28,-123584.40,-0.06,296.90,0.16,483.10,0.26
761,Exit Short,MomLE,2023-08-11 16:00,946.8,1,-166.20,-0.09,-123058.20,-0.02,516.90,0.27,123.10,0.07
761,Entry Short,MomSE,2023-08-11 15:15,946.4,1,-166.20,-0.09,-123058.20,-0.02,516.90,0.27,123.10,0.07
760,Exit Long,MomSE,2023-08-11 15:15,946.4,1,673.80,0.36,-122892.00,0.08,1396.90,0.74,3.10,0
760,Entry Long,MomLE,2023-08-10 15:45,942.6,1,673.80,0.36,-122892.00,0.08,1396.90,0.74,3.10,0
759,Exit Short,MomLE,2023-08-10 15:45,942.6,1,-706.20,-0.38,-123565.80,-0.08,196.90,0.1,1143.10,0.61
759,Entry Short,MomSE,2023-08-10 10:30,939.5,1,-706.20,-0.38,-123565.80,-0.08,196.90,0.1,1143.10,0.61
758,Exit Long,MomSE,2023-08-10 10:30,939.5,1,-406.20,-0.22,-122859.60,-0.05,796.90,0.42,863.10,0.46
758,Entry Long,MomLE,2023-08-09 11:00,941.1,1,-406.20,-0.22,-122859.60,-0.05,796.90,0.42,863.10,0.46
757,Exit Short,MomLE,2023-08-09 11:00,941.1,1,1053.80,0.56,-122453.40,0.12,2016.90,1.06,63.10,0.03
757,Entry Short,MomSE,2023-08-08 10:45,946.8,1,1053.80,0.56,-122453.40,0.12,2016.90,1.06,63.10,0.03
756,Exit Long,MomSE,2023-08-08 10:45,946.8,1,-226.20,-0.12,-123507.20,-0.03,1456.90,0.77,203.10,0.11
756,Entry Long,MomLE,2023-08-07 14:45,947.5,1,-226.20,-0.12,-123507.20,-0.03,1456.90,0.77,203.10,0.11
755,Exit Short,MomLE,2023-08-07 14:45,947.5,1,-806.20,-0.43,-123281.00,-0.09,936.90,0.5,763.10,0.4
755,Entry Short,MomSE,2023-08-07 10:45,943.9,1,-806.20,-0.43,-123281.00,-0.09,936.90,0.5,763.10,0.4
754,Exit Long,MomSE,2023-08-07 10:45,943.9,1,-726.20,-0.38,-122474.80,-0.08,476.90,0.25,843.10,0.44
754,Entry Long,MomLE,2023-08-04 10:45,947.1,1,-726.20,-0.38,-122474.80,-0.08,476.90,0.25,843.10,0.44
753,Exit Short,MomLE,2023-08-04 10:45,947.1,1,813.80,0.43,-121748.60,0.09,1996.90,1.05,723.10,0.38
753,Entry Short,MomSE,2023-08-03 10:00,951.6,1,813.80,0.43,-121748.60,0.09,1996.90,1.05,723.10,0.38
