Trade #,Type,Signal,Date/Time,Price THB,Contracts,Profit THB,Profit %,Cum. Profit THB,Cum. Profit %,Run-up THB,Run-up %,Drawdown THB,Drawdown %
270,Exit Short,MacdLE,2024-12-27 13:45,911.5,1,-1120.00,-0.62,5960.00,-0.11,180.00,0.10,1220.00,0.67
270,Entry Short,MacdSE,2024-12-26 15:45,905.9,1,-1120.00,-0.62,5960.00,-0.11,180.00,0.10,1220.00,0.67
269,Exit Short,MacdLE,2024-12-23 10:45,889.2,1,2440.00,1.35,7080.00,0.24,4180.00,2.32,400.00,0.22
269,Entry Short,MacdSE,2024-12-19 11:45,901.4,1,2440.00,1.35,7080.00,0.24,4180.00,2.32,400.00,0.22
268,Exit Short,MacdLE,2024-12-18 16:45,906.0,1,5620.00,3.01,4640.00,0.56,7020.00,3.76,80.00,0.04
268,Entry Short,MacdSE,2024-12-12 14:45,934.1,1,5620.00,3.01,4640.00,0.56,7020.00,3.76,80.00,0.04
267,Exit Short,MacdLE,2024-12-12 11:45,936.6,1,40.00,0.02,-980.00,0.00,1560.00,0.83,940.00,0.50
267,Entry Short,MacdSE,2024-12-06 09:45,936.8,1,40.00,0.02,-980.00,0.00,1560.00,0.83,940.00,0.50
266,Exit Short,MacdLE,2024-12-02 11:45,920.6,1,-820.00,-0.45,-1020.00,-0.08,60.00,0.03,980.00,0.53
266,Entry Short,MacdSE,2024-12-02 10:45,916.5,1,-820.00,-0.45,-1020.00,-0.08,60.00,0.03,980.00,0.53
265,Exit Short,MacdLE,2024-11-29 09:45,924.6,1,1160.00,0.62,-200.00,0.12,2420.00,1.30,420.00,0.23
265,Entry Short,MacdSE,2024-11-26 15:45,930.4,1,1160.00,0.62,-200.00,0.12,2420.00,1.30,420.00,0.23
264,Exit Short,MacdLE,2024-11-25 10:45,939.1,1,1360.00,0.72,-1360.00,0.14,3680.00,1.95,240.00,0.13
264,Entry Short,MacdSE,2024-11-20 13:45,945.9,1,1360.00,0.72,-1360.00,0.14,3680.00,1.95,240.00,0.13
263,Exit Short,MacdLE,2024-11-18 10:45,936.9,1,-1300.00,-0.70,-2720.00,-0.13,420.00,0.23,1920.00,1.03
263,Entry Short,MacdSE,2024-11-15 14:45,930.4,1,-1300.00,-0.70,-2720.00,-0.13,420.00,0.23,1920.00,1.03
